,Flight,DepartureTime,ArivalTime,source,Destination,Duration,Price_,Date
25,Vistara,20:10,22:40,New Delhi,Chennai,"02 h 30 m
Non stop","₹ 17,190",13/1/2023
26,Air India,19:40,22:35,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 26,430",13/1/2023
0,Go First,21:00,"07:35
+ 1 DAY",New Delhi,Chennai,"10 h 35 m
1 stop via Mumbai","₹ 6,417",14/1/2023
1,SpiceJet,06:15,08:50,New Delhi,Chennai,"02 h 35 m
Non stop","₹ 6,615",14/1/2023
2,AirAsia,09:30,17:05,New Delhi,Chennai,"07 h 35 m
1 stop via Bengaluru","₹ 6,615",14/1/2023
3,IndiGo,07:10,09:50,New Delhi,Chennai,"02 h 40 m
Non stop","₹ 6,616",14/1/2023
4,IndiGo,08:25,11:20,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 6,616",14/1/2023
5,SpiceJet,20:00,"08:00
+ 1 DAY",New Delhi,Chennai,"12 h
1 stop via Mumbai","₹ 6,618",14/1/2023
6,SpiceJet,18:50,"08:00
+ 1 DAY",New Delhi,Chennai,"13 h 10 m
1 stop via Mumbai","₹ 6,618",14/1/2023
7,Air India,05:45,08:50,New Delhi,Chennai,"03 h 05 m
Non stop","₹ 6,690",14/1/2023
8,Air India,16:10,19:15,New Delhi,Chennai,"03 h 05 m
Non stop","₹ 6,690",14/1/2023
9,Air India,19:40,22:35,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 6,690",14/1/2023
10,Air India,20:40,23:35,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 6,690",14/1/2023
11,IndiGo,15:55,18:55,New Delhi,Chennai,"03 h
Non stop","₹ 6,931",14/1/2023
12,IndiGo,23:50,"02:40
+ 1 DAY",New Delhi,Chennai,"02 h 50 m
Non stop","₹ 6,931",14/1/2023
13,"SpiceJet, Akasa Air",06:20,13:10,New Delhi,Chennai,"06 h 50 m
1 stop via Bengaluru","₹ 7,152",14/1/2023
14,SpiceJet,18:15,20:50,New Delhi,Chennai,"02 h 35 m
Non stop","₹ 7,395",14/1/2023
15,"Go First, Akasa Air",05:45,13:10,New Delhi,Chennai,"07 h 25 m
1 stop via Bengaluru","₹ 7,419",14/1/2023
16,IndiGo,19:20,22:10,New Delhi,Chennai,"02 h 50 m
Non stop","₹ 7,561",14/1/2023
17,SpiceJet,19:50,"03:05
+ 1 DAY",New Delhi,Chennai,"07 h 15 m
1 stop via Pune","₹ 7,913",14/1/2023
18,IndiGo,17:15,20:15,New Delhi,Chennai,"03 h
Non stop","₹ 8,086",14/1/2023
19,IndiGo,21:10,"00:10
+ 1 DAY",New Delhi,Chennai,"03 h
Non stop","₹ 8,086",14/1/2023
20,Air India,06:10,14:10,New Delhi,Chennai,"08 h
1 stop via Bengaluru","₹ 8,097",14/1/2023
21,Vistara,07:40,10:25,New Delhi,Chennai,"02 h 45 m
Non stop","₹ 8,152",14/1/2023
22,"Air India, Akasa Air",06:10,13:10,New Delhi,Chennai,"07 h
1 stop via Bengaluru","₹ 8,262",14/1/2023
23,IndiGo,12:10,15:10,New Delhi,Chennai,"03 h
Non stop","₹ 8,611",14/1/2023
24,"AirAsia, Akasa Air",09:30,16:30,New Delhi,Chennai,"07 h
1 stop via Bengaluru","₹ 8,934",14/1/2023
25,IndiGo,10:30,13:15,New Delhi,Chennai,"02 h 45 m
Non stop","₹ 9,136",14/1/2023
26,Air India,11:50,14:45,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 9,315",14/1/2023
27,Vistara,13:40,16:20,New Delhi,Chennai,"02 h 40 m
Non stop","₹ 9,315",14/1/2023
28,"IndiGo, Akasa Air",15:40,21:50,New Delhi,Chennai,"06 h 10 m
1 stop via Bengaluru","₹ 9,417",14/1/2023
29,Vistara,17:35,20:20,New Delhi,Chennai,"02 h 45 m
Non stop","₹ 10,890",14/1/2023
30,Vistara,20:10,22:40,New Delhi,Chennai,"02 h 30 m
Non stop","₹ 10,890",14/1/2023
31,Air India,09:45,12:35,New Delhi,Chennai,"02 h 50 m
Non stop","₹ 16,980",14/1/2023
0,AirAsia,21:20,"06:10
+ 1 DAY",New Delhi,Chennai,"08 h 50 m
1 stop via Bengaluru","₹ 6,099",15/1/2023
1,SpiceJet,18:50,21:30,New Delhi,Chennai,"02 h 40 m
Non stop","₹ 6,615",15/1/2023
2,AirAsia,09:30,17:05,New Delhi,Chennai,"07 h 35 m
1 stop via Bengaluru","₹ 6,615",15/1/2023
3,AirAsia,08:10,17:05,New Delhi,Chennai,"08 h 55 m
1 stop via Bengaluru","₹ 6,615",15/1/2023
4,IndiGo,05:55,09:05,New Delhi,Chennai,"03 h 10 m
Non stop","₹ 6,616",15/1/2023
5,IndiGo,07:10,09:50,New Delhi,Chennai,"02 h 40 m
Non stop","₹ 6,616",15/1/2023
6,IndiGo,23:50,"02:40
+ 1 DAY",New Delhi,Chennai,"02 h 50 m
Non stop","₹ 6,616",15/1/2023
7,SpiceJet,20:00,"08:00
+ 1 DAY",New Delhi,Chennai,"12 h
1 stop via Mumbai","₹ 6,618",15/1/2023
8,Air India,05:45,08:50,New Delhi,Chennai,"03 h 05 m
Non stop","₹ 6,690",15/1/2023
9,Air India,16:10,19:15,New Delhi,Chennai,"03 h 05 m
Non stop","₹ 6,690",15/1/2023
10,Air India,19:40,22:35,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 6,690",15/1/2023
11,Air India,20:40,23:35,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 6,690",15/1/2023
12,IndiGo,21:10,"00:10
+ 1 DAY",New Delhi,Chennai,"03 h
Non stop","₹ 6,931",15/1/2023
13,IndiGo,22:55,"07:55
+ 1 DAY",New Delhi,Chennai,"09 h
1 stop via Bengaluru","₹ 6,959",15/1/2023
14,IndiGo,08:25,11:20,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 7,246",15/1/2023
15,IndiGo,15:55,18:55,New Delhi,Chennai,"03 h
Non stop","₹ 7,246",15/1/2023
16,IndiGo,17:15,20:15,New Delhi,Chennai,"03 h
Non stop","₹ 7,246",15/1/2023
17,IndiGo,19:20,22:10,New Delhi,Chennai,"02 h 50 m
Non stop","₹ 7,246",15/1/2023
18,Vistara,07:40,10:25,New Delhi,Chennai,"02 h 45 m
Non stop","₹ 7,247",15/1/2023
19,"AirAsia, Akasa Air",08:10,16:30,New Delhi,Chennai,"08 h 20 m
1 stop via Bengaluru","₹ 7,403",15/1/2023
20,Vistara,20:10,22:40,New Delhi,Chennai,"02 h 30 m
Non stop","₹ 8,152",15/1/2023
21,"Air India, Akasa Air",06:10,13:10,New Delhi,Chennai,"07 h
1 stop via Bengaluru","₹ 8,262",15/1/2023
22,Vistara,17:35,20:20,New Delhi,Chennai,"02 h 45 m
Non stop","₹ 9,315",15/1/2023
23,IndiGo,04:20,10:30,New Delhi,Chennai,"06 h 10 m
1 stop via Bengaluru","₹ 9,480",15/1/2023
24,Vistara,13:40,16:20,New Delhi,Chennai,"02 h 40 m
Non stop","₹ 9,735",15/1/2023
25,IndiGo,01:55,07:05,New Delhi,Chennai,"05 h 10 m
1 stop via Hyderabad","₹ 9,804",15/1/2023
26,IndiGo,17:15,22:45,New Delhi,Chennai,"05 h 30 m
1 stop via Hyderabad","₹ 9,804",15/1/2023
27,Air India,09:45,12:35,New Delhi,Chennai,"02 h 50 m
Non stop","₹ 10,155",15/1/2023
28,Air India,20:00,"01:05
+ 1 DAY",New Delhi,Chennai,"05 h 05 m
1 stop via Mumbai","₹ 10,260",15/1/2023
29,Air India,11:50,14:45,New Delhi,Chennai,"02 h 55 m
Non stop","₹ 16,980",15/1/2023
0,SpiceJet,08:30,"10:25
+ 1 DAY",New Delhi,Kolkata,"25 h 55 m
1 stop via Bagdogra","₹ 6,771",8/1/2023
1,SpiceJet,05:45,07:45,New Delhi,Kolkata,"02 h
Non stop","₹ 6,999",8/1/2023
2,IndiGo,05:35,10:50,New Delhi,Kolkata,"05 h 15 m
1 stop via Lucknow","₹ 7,319",8/1/2023
3,Vistara,06:30,08:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 7,373",8/1/2023
4,Go First,21:00,"10:00
+ 1 DAY",New Delhi,Kolkata,"13 h
1 stop via Mumbai","₹ 7,713",8/1/2023
5,SpiceJet,20:35,22:50,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,157",8/1/2023
6,IndiGo,03:00,05:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",8/1/2023
7,IndiGo,04:35,06:45,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",8/1/2023
8,IndiGo,21:20,23:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",8/1/2023
9,IndiGo,22:50,"01:00
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",8/1/2023
10,IndiGo,23:55,"02:05
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",8/1/2023
11,AirAsia,07:10,12:35,New Delhi,Kolkata,"05 h 25 m
1 stop via Lucknow","₹ 8,159",8/1/2023
12,Vistara,07:30,09:35,New Delhi,Kolkata,"02 h 05 m
Non stop","₹ 8,475",8/1/2023
13,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,895",8/1/2023
14,Vistara,20:30,22:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,895",8/1/2023
15,"AirAsia, IndiGo",13:15,19:40,New Delhi,Kolkata,"06 h 25 m
1 stop via Lucknow","₹ 9,324",8/1/2023
16,IndiGo,13:55,20:30,New Delhi,Kolkata,"06 h 35 m
1 stop via Patna","₹ 9,726",8/1/2023
17,IndiGo,15:30,17:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,734",8/1/2023
18,"Vistara, IndiGo",13:35,19:40,New Delhi,Kolkata,"06 h 05 m
1 stop via Lucknow","₹ 9,743",8/1/2023
19,IndiGo,07:00,08:55,New Delhi,Kolkata,"01 h 55 m
Non stop","₹ 10,469",8/1/2023
20,IndiGo,09:00,11:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",8/1/2023
21,IndiGo,12:20,14:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",8/1/2023
22,Vistara,15:45,18:05,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 10,575",8/1/2023
23,IndiGo,14:55,19:40,New Delhi,Kolkata,"04 h 45 m
1 stop via Lucknow","₹ 10,679",8/1/2023
24,IndiGo,19:00,21:00,New Delhi,Kolkata,"02 h
Non stop","₹ 11,204",8/1/2023
25,IndiGo,05:10,12:40,New Delhi,Kolkata,"07 h 30 m
1 stop via Jaipur","₹ 11,257",8/1/2023
26,Vistara,17:25,19:35,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 13,494",8/1/2023
27,IndiGo,10:00,12:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 13,619",8/1/2023
28,AirAsia,07:15,15:25,New Delhi,Kolkata,"08 h 10 m
2 stop via Guwahati,Imphal","₹ 13,702",8/1/2023
29,Air India,17:00,19:15,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 13,935",8/1/2023
30,Air India,17:50,23:50,New Delhi,Kolkata,"06 h
1 stop via Mumbai","₹ 14,880",8/1/2023
0,SpiceJet,14:15,"10:25
+ 1 DAY",New Delhi,Kolkata,"20 h 10 m
1 stop via Bagdogra","₹ 6,642",9/1/2023
1,SpiceJet,08:30,"10:25
+ 1 DAY",New Delhi,Kolkata,"25 h 55 m
1 stop via Bagdogra","₹ 6,642",9/1/2023
2,Vistara,06:30,08:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 7,005",9/1/2023
3,IndiGo,05:35,10:50,New Delhi,Kolkata,"05 h 15 m
1 stop via Lucknow","₹ 7,319",9/1/2023
4,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 7,635",9/1/2023
5,Go First,02:40,10:00,New Delhi,Kolkata,"07 h 20 m
1 stop via Mumbai","₹ 7,713",9/1/2023
6,SpiceJet,05:45,07:45,New Delhi,Kolkata,"02 h
Non stop","₹ 8,157",9/1/2023
7,IndiGo,03:00,05:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
8,IndiGo,04:35,06:45,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
9,IndiGo,07:00,08:55,New Delhi,Kolkata,"01 h 55 m
Non stop","₹ 8,159",9/1/2023
10,IndiGo,09:00,11:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
11,IndiGo,10:00,12:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
12,IndiGo,12:20,14:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
13,IndiGo,15:30,17:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
14,IndiGo,21:20,23:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
15,IndiGo,22:50,"01:00
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
16,IndiGo,23:55,"02:05
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",9/1/2023
17,AirAsia,10:55,15:35,New Delhi,Kolkata,"04 h 40 m
1 stop via Bhubaneswar","₹ 8,159",9/1/2023
18,Air India,06:50,09:05,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,160",9/1/2023
19,Vistara,07:30,09:35,New Delhi,Kolkata,"02 h 05 m
Non stop","₹ 8,160",9/1/2023
20,SpiceJet,20:35,22:50,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,421",9/1/2023
21,Vistara,15:45,18:05,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 8,475",9/1/2023
22,IndiGo,17:30,19:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,684",9/1/2023
23,Vistara,17:25,19:35,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,895",9/1/2023
24,Air India,12:10,14:30,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 9,000",9/1/2023
25,Air India,20:15,22:25,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,000",9/1/2023
26,IndiGo,13:30,19:40,New Delhi,Kolkata,"06 h 10 m
1 stop via Lucknow","₹ 9,188",9/1/2023
27,IndiGo,19:00,21:00,New Delhi,Kolkata,"02 h
Non stop","₹ 9,734",9/1/2023
28,"Vistara, IndiGo",13:35,19:40,New Delhi,Kolkata,"06 h 05 m
1 stop via Lucknow","₹ 9,743",9/1/2023
29,Air India,16:45,19:00,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 11,520",9/1/2023
30,IndiGo,13:55,19:55,New Delhi,Kolkata,"06 h
1 stop via Gorakhpur","₹ 12,354",9/1/2023
31,Vistara,20:30,22:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 13,725",9/1/2023
0,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 6,804",10/1/2023
1,IndiGo,05:10,09:30,New Delhi,Kolkata,"04 h 20 m
1 stop via Jaipur","₹ 7,319",10/1/2023
2,SpiceJet,20:35,22:50,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,157",10/1/2023
3,IndiGo,03:00,05:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",10/1/2023
4,IndiGo,04:35,06:45,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",10/1/2023
5,IndiGo,07:00,08:55,New Delhi,Kolkata,"01 h 55 m
Non stop","₹ 8,159",10/1/2023
6,IndiGo,21:20,23:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",10/1/2023
7,IndiGo,22:50,"01:00
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",10/1/2023
8,IndiGo,23:55,"02:05
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",10/1/2023
9,Vistara,06:30,08:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,160",10/1/2023
10,Vistara,20:30,22:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,160",10/1/2023
11,IndiGo,13:55,20:30,New Delhi,Kolkata,"06 h 35 m
1 stop via Patna","₹ 8,279",10/1/2023
12,Air India,06:50,09:05,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,370",10/1/2023
13,Vistara,17:25,19:35,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,475",10/1/2023
14,IndiGo,16:05,20:30,New Delhi,Kolkata,"04 h 25 m
1 stop via Patna","₹ 8,653",10/1/2023
15,IndiGo,10:10,20:30,New Delhi,Kolkata,"10 h 20 m
1 stop via Patna","₹ 8,653",10/1/2023
16,IndiGo,19:00,21:00,New Delhi,Kolkata,"02 h
Non stop","₹ 8,684",10/1/2023
17,Air India,20:15,22:25,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,790",10/1/2023
18,Vistara,07:30,09:35,New Delhi,Kolkata,"02 h 05 m
Non stop","₹ 8,895",10/1/2023
19,Vistara,15:45,18:05,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 8,895",10/1/2023
20,IndiGo,22:45,"09:30
+ 1 DAY",New Delhi,Kolkata,"10 h 45 m
1 stop via Jaipur","₹ 9,115",10/1/2023
21,IndiGo,17:30,19:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,209",10/1/2023
22,"Air India, IndiGo",12:20,19:40,New Delhi,Kolkata,"07 h 20 m
1 stop via Lucknow","₹ 9,533",10/1/2023
23,SpiceJet,05:45,07:45,New Delhi,Kolkata,"02 h
Non stop","₹ 9,995",10/1/2023
24,IndiGo,10:10,17:15,New Delhi,Kolkata,"07 h 05 m
1 stop via Patna","₹ 10,040",10/1/2023
25,IndiGo,08:45,17:15,New Delhi,Kolkata,"08 h 30 m
1 stop via Patna","₹ 10,040",10/1/2023
26,IndiGo,10:00,12:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",10/1/2023
27,IndiGo,14:30,21:40,New Delhi,Kolkata,"07 h 10 m
1 stop via Ranchi","₹ 10,918",10/1/2023
28,IndiGo,09:00,11:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 11,204",10/1/2023
29,IndiGo,12:20,14:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 11,204",10/1/2023
30,"Alliance Air, IndiGo",12:30,19:40,New Delhi,Kolkata,"07 h 10 m
2 stop via Dehradun,Lucknow","₹ 11,738",10/1/2023
31,Air India,16:45,19:00,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 17,820",10/1/2023
32,Air India,12:10,14:30,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 22,020",10/1/2023
0,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 6,804",11/1/2023
1,SpiceJet,08:30,"10:25
+ 1 DAY",New Delhi,Kolkata,"25 h 55 m
1 stop via Bagdogra","₹ 7,168",11/1/2023
2,SpiceJet,05:45,07:45,New Delhi,Kolkata,"02 h
Non stop","₹ 8,157",11/1/2023
3,SpiceJet,20:35,22:50,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,157",11/1/2023
4,IndiGo,03:00,05:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",11/1/2023
5,IndiGo,04:35,06:45,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",11/1/2023
6,IndiGo,07:00,08:55,New Delhi,Kolkata,"01 h 55 m
Non stop","₹ 8,159",11/1/2023
7,IndiGo,19:00,21:00,New Delhi,Kolkata,"02 h
Non stop","₹ 8,159",11/1/2023
8,IndiGo,21:20,23:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",11/1/2023
9,IndiGo,22:50,"01:00
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",11/1/2023
10,IndiGo,23:55,"02:05
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",11/1/2023
11,Air India,06:50,09:05,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,160",11/1/2023
12,Vistara,07:30,09:35,New Delhi,Kolkata,"02 h 05 m
Non stop","₹ 8,160",11/1/2023
13,Vistara,20:30,22:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,160",11/1/2023
14,IndiGo,05:35,11:10,New Delhi,Kolkata,"05 h 35 m
1 stop via Lucknow","₹ 8,843",11/1/2023
15,IndiGo,10:00,12:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,209",11/1/2023
16,IndiGo,13:55,20:30,New Delhi,Kolkata,"06 h 35 m
1 stop via Patna","₹ 9,352",11/1/2023
17,IndiGo,12:20,14:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,734",11/1/2023
18,"Vistara, IndiGo",13:35,19:40,New Delhi,Kolkata,"06 h 05 m
1 stop via Lucknow","₹ 9,743",11/1/2023
19,IndiGo,09:00,11:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",11/1/2023
20,IndiGo,15:30,17:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",11/1/2023
21,IndiGo,13:30,19:40,New Delhi,Kolkata,"06 h 10 m
1 stop via Lucknow","₹ 10,679",11/1/2023
22,IndiGo,17:30,19:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 11,204",11/1/2023
23,IndiGo,14:30,21:40,New Delhi,Kolkata,"07 h 10 m
1 stop via Ranchi","₹ 11,338",11/1/2023
24,Air India,16:45,19:00,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 11,520",11/1/2023
25,"Alliance Air, IndiGo",12:30,19:40,New Delhi,Kolkata,"07 h 10 m
2 stop via Dehradun,Lucknow","₹ 11,738",11/1/2023
26,Vistara,06:30,08:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 13,494",11/1/2023
27,IndiGo,14:45,20:45,New Delhi,Kolkata,"06 h
1 stop via Varanasi","₹ 13,512",11/1/2023
28,IndiGo,14:30,19:45,New Delhi,Kolkata,"05 h 15 m
1 stop via Ranchi","₹ 13,672",11/1/2023
29,Vistara,15:45,18:05,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 13,725",11/1/2023
30,Air India,12:10,14:30,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 14,145",11/1/2023
31,Air India,20:15,22:25,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 14,145",11/1/2023
32,Vistara,17:25,19:35,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 28,740",11/1/2023
0,SpiceJet,14:15,"10:25
+ 1 DAY",New Delhi,Kolkata,"20 h 10 m
1 stop via Bagdogra","₹ 6,499",12/1/2023
1,SpiceJet,08:30,"10:25
+ 1 DAY",New Delhi,Kolkata,"25 h 55 m
1 stop via Bagdogra","₹ 6,499",12/1/2023
2,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 6,804",12/1/2023
3,AirAsia,07:10,12:35,New Delhi,Kolkata,"05 h 25 m
1 stop via Lucknow","₹ 7,319",12/1/2023
4,SpiceJet,05:45,07:45,New Delhi,Kolkata,"02 h
Non stop","₹ 8,157",12/1/2023
5,SpiceJet,20:35,22:50,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,157",12/1/2023
6,IndiGo,04:35,06:45,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",12/1/2023
7,IndiGo,07:00,08:55,New Delhi,Kolkata,"01 h 55 m
Non stop","₹ 8,159",12/1/2023
8,IndiGo,17:30,19:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",12/1/2023
9,IndiGo,19:00,21:00,New Delhi,Kolkata,"02 h
Non stop","₹ 8,159",12/1/2023
10,IndiGo,21:20,23:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",12/1/2023
11,IndiGo,22:50,"01:00
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",12/1/2023
12,IndiGo,23:55,"02:05
+ 1 DAY",New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,159",12/1/2023
13,AirAsia,15:05,"02:30
+ 1 DAY",New Delhi,Kolkata,"11 h 25 m
1 stop via Pune","₹ 8,159",12/1/2023
14,Vistara,06:30,08:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,160",12/1/2023
15,Vistara,07:30,09:35,New Delhi,Kolkata,"02 h 05 m
Non stop","₹ 8,160",12/1/2023
16,Vistara,17:25,19:35,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,160",12/1/2023
17,Air India,20:15,22:25,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,160",12/1/2023
18,Vistara,20:30,22:20,New Delhi,Kolkata,"01 h 50 m
Non stop","₹ 8,160",12/1/2023
19,IndiGo,14:55,19:40,New Delhi,Kolkata,"04 h 45 m
1 stop via Lucknow","₹ 8,217",12/1/2023
20,IndiGo,13:30,19:40,New Delhi,Kolkata,"06 h 10 m
1 stop via Lucknow","₹ 8,217",12/1/2023
21,Air India,06:50,09:05,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,370",12/1/2023
22,Air India,16:45,19:00,New Delhi,Kolkata,"02 h 15 m
Non stop","₹ 8,370",12/1/2023
23,IndiGo,03:00,05:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,684",12/1/2023
24,IndiGo,15:30,17:40,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 8,684",12/1/2023
25,"AirAsia, IndiGo",13:15,19:40,New Delhi,Kolkata,"06 h 25 m
1 stop via Lucknow","₹ 8,826",12/1/2023
26,IndiGo,05:35,11:10,New Delhi,Kolkata,"05 h 35 m
1 stop via Lucknow","₹ 8,843",12/1/2023
27,Air India,12:10,14:30,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 9,000",12/1/2023
28,"Air India, AirAsia",07:05,12:35,New Delhi,Kolkata,"05 h 30 m
1 stop via Lucknow","₹ 9,061",12/1/2023
29,IndiGo,10:00,12:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,209",12/1/2023
30,IndiGo,12:20,14:30,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 9,209",12/1/2023
31,"Air India, IndiGo",12:20,19:40,New Delhi,Kolkata,"07 h 20 m
1 stop via Lucknow","₹ 9,533",12/1/2023
32,Vistara,15:45,18:05,New Delhi,Kolkata,"02 h 20 m
Non stop","₹ 9,630",12/1/2023
33,IndiGo,05:10,09:30,New Delhi,Kolkata,"04 h 20 m
1 stop via Jaipur","₹ 9,715",12/1/2023
34,IndiGo,09:00,11:10,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 10,469",12/1/2023
35,IndiGo,10:45,20:45,New Delhi,Kolkata,"10 h
1 stop via Varanasi","₹ 10,984",12/1/2023
0,SpiceJet,14:15,"10:25
+ 1 DAY",New Delhi,Kolkata,"20 h 10 m
1 stop via Bagdogra","₹ 6,499",13/1/2023
1,SpiceJet,08:30,"10:25
+ 1 DAY",New Delhi,Kolkata,"25 h 55 m
1 stop via Bagdogra","₹ 6,499",13/1/2023
2,Go First,05:50,08:00,New Delhi,Kolkata,"02 h 10 m
Non stop","₹ 6,804",13/1/2023
3,AirAsia,07:10,12:35,New Delhi,Kolkata,"05 h 25 m
1 stop via Lucknow","₹ 7,319",13/1/2023
